,RSS,Epc,time,diff
7933,-62.0,9107,85142,
7935,-61.0,9107,85142,1.0
7937,-61.0,9107,85142,0.0
7938,-61.0,9107,85142,0.0
7940,-61.0,9107,85142,0.0
7942,-61.0,9107,85142,0.0
7944,-61.5,9107,85142,-0.5
7946,-61.0,9107,85142,0.5
7948,-60.5,9107,85142,0.5
7951,-61.0,9107,85142,-0.5
7952,-61.0,9107,85142,0.0
7954,-61.0,9107,85189,0.0
7957,-61.5,9107,85189,-0.5
7958,-61.0,9107,85408,0.5
7961,-61.5,9107,85408,-0.5
7962,-61.5,9107,85408,0.0
7964,-60.5,9107,85408,1.0
7967,-61.5,9107,85408,-1.0
7969,-61.5,9107,85408,0.0
7971,-61.0,9107,85408,0.5
7972,-60.5,9107,85408,0.5
7975,-61.0,9107,85408,-0.5
7976,-61.5,9107,85408,-0.5
7978,-61.0,9107,85408,0.5
7981,-61.5,9107,85642,-0.5
7982,-61.0,9107,85642,0.5
7984,-61.0,9107,85642,0.0
7986,-61.5,9107,85642,-0.5
7988,-61.0,9107,85642,0.5
7991,-61.0,9107,85642,0.0
7992,-61.0,9107,85642,0.0
7994,-61.0,9107,85642,0.0
7997,-61.0,9107,85642,0.0
7999,-61.0,9107,85642,0.0
8000,-61.5,9107,85642,-0.5
8002,-61.5,9107,85689,0.0
8004,-61.0,9107,85689,0.5
8006,-61.0,9107,85908,0.0
8008,-61.0,9107,85908,0.0
8011,-61.5,9107,85908,-0.5
8012,-61.5,9107,85908,0.0
8014,-61.0,9107,85908,0.5
8016,-61.0,9107,85908,0.0
8019,-61.0,9107,85908,0.0
8020,-61.0,9107,85908,0.0
8023,-61.0,9107,85908,0.0
8025,-61.0,9107,85908,0.0
8026,-61.0,9107,85908,0.0
8029,-61.0,9107,85939,0.0
8030,-61.0,9107,86142,0.0
8032,-62.0,9107,86158,-1.0
8034,-61.5,9107,86158,0.5
8036,-62.0,9107,86158,-0.5
8039,-61.0,9107,86158,1.0
8041,-61.0,9107,86158,0.0
8043,-61.0,9107,86158,0.0
8044,-61.5,9107,86158,-0.5
8047,-61.0,9107,86158,0.5
8048,-61.0,9107,86158,0.0
8051,-61.5,9107,86158,-0.5
8052,-61.0,9107,86189,0.5
8055,-61.0,9107,86392,0.0
8057,-61.0,9107,86392,0.0
8059,-61.0,9107,86392,0.0
8060,-61.0,9107,86392,0.0
8062,-61.5,9107,86392,-0.5
8064,-61.5,9107,86392,0.0
8066,-61.0,9107,86392,0.5
8068,-62.0,9107,86392,-1.0
