,RSS,Epc,time,diff
3064,-55.5,9107,35166,
3067,-55.5,9107,35171,0.0
3068,-55.0,9107,35172,0.5
3070,-55.5,9107,35173,-0.5
3073,-55.5,9107,35175,0.0
3075,-55.5,9107,35176,0.0
3076,-55.0,9107,35177,0.5
3078,-55.0,9107,35183,0.0
3080,-55.5,9107,35186,-0.5
3083,-55.5,9107,35188,0.0
3085,-55.5,9107,35189,0.0
3087,-55.0,9107,35203,0.5
3088,-55.5,9107,35412,-0.5
3091,-55.5,9107,35418,0.0
3093,-55.5,9107,35419,0.0
3095,-55.0,9107,35420,0.5
3096,-55.5,9107,35421,-0.5
3099,-55.0,9107,35423,0.5
3100,-55.0,9107,35425,0.0
3102,-55.0,9107,35428,0.0
3105,-55.0,9107,35429,0.0
3107,-55.5,9107,35431,-0.5
3108,-55.0,9107,35431,0.5
3110,-55.0,9107,35451,0.0
3112,-55.0,9107,35659,0.0
3114,-55.0,9107,35663,0.0
3117,-54.5,9107,35665,0.5
3119,-55.0,9107,35666,-0.5
3120,-55.0,9107,35666,0.0
3122,-55.0,9107,35668,0.0
3124,-54.5,9107,35669,0.5
3127,-55.0,9107,35674,-0.5
3129,-55.0,9107,35675,0.0
3130,-55.0,9107,35676,0.0
3133,-55.0,9107,35678,0.0
3135,-55.0,9107,35705,0.0
3136,-55.0,9107,35707,0.0
3138,-55.0,9107,35932,0.0
3140,-55.0,9107,35936,0.0
3142,-55.0,9107,35941,0.0
3145,-55.0,9107,35944,0.0
3147,-55.0,9107,35947,0.0
3148,-55.0,9107,35949,0.0
3151,-55.0,9107,35950,0.0
3152,-55.0,9107,35951,0.0
3155,-55.0,9107,35953,0.0
3157,-55.0,9107,35954,0.0
3158,-55.0,9107,35954,0.0
3160,-55.0,9107,36154,0.0
3163,-55.0,9107,36164,0.0
3165,-55.0,9107,36168,0.0
3166,-55.0,9107,36168,0.0
3169,-55.0,9107,36172,0.0
3171,-55.5,9107,36173,-0.5
3173,-55.5,9107,36175,0.0
3174,-55.0,9107,36176,0.5
3176,-55.0,9107,36181,0.0
3179,-55.0,9107,36183,0.0
3180,-55.0,9107,36183,0.0
3183,-55.0,9107,36202,0.0
3185,-55.0,9107,36205,0.0
3186,-55.0,9107,36421,0.0
3189,-55.0,9107,36425,0.0
3191,-54.5,9107,36426,0.5
3193,-54.5,9107,36430,0.0
3195,-53.5,9107,36433,1.0
3197,-48.5,9107,36434,5.0
3199,-48.0,9107,36435,0.5
3200,-47.5,9107,36436,0.5
3202,-48.0,9107,36437,-0.5
3205,-48.0,9107,36439,0.0
3207,-48.0,9107,36442,0.0
3208,-48.0,9107,36451,0.0
3210,-48.0,9107,36665,0.0
3212,-48.0,9107,36666,0.0
3215,-48.0,9107,36668,0.0
3216,-48.5,9107,36670,-0.5
3219,-48.5,9107,36673,0.0
3220,-48.5,9107,36674,0.0
3222,-48.5,9107,36675,0.0
3224,-48.5,9107,36676,0.0
3226,-48.5,9107,36678,0.0
3229,-49.0,9107,36681,-0.5
3231,-48.5,9107,36684,0.5
3232,-48.5,9107,36701,0.0
3234,-49.0,9107,36910,-0.5
3237,-49.0,9107,36914,0.0
3239,-49.0,9107,36916,0.0
3241,-49.0,9107,36917,0.0
3243,-49.5,9107,36918,-0.5
3245,-49.0,9107,36920,0.5
3246,-49.0,9107,36923,0.0
3248,-49.0,9107,36925,0.0
3251,-49.0,9107,36927,0.0
3253,-49.5,9107,36928,-0.5
3255,-49.5,9107,36929,0.0
3257,-49.5,9107,36952,0.0
3258,-49.0,9107,36955,0.5
3261,-49.5,9107,37179,-0.5
3263,-49.5,9107,37183,0.0
3265,-49.5,9107,37184,0.0
3266,-49.5,9107,37185,0.0
3268,-49.5,9107,37186,0.0
3270,-49.5,9107,37189,0.0
3273,-49.5,9107,37191,0.0
3275,-49.5,9107,37192,0.0
3277,-49.5,9107,37194,0.0
3279,-49.5,9107,37197,0.0
3280,-49.5,9107,37197,0.0
3283,-49.5,9107,37201,0.0
3285,-49.5,9107,37423,0.0
3286,-49.5,9107,37425,0.0
3289,-49.5,9107,37428,0.0
3290,-49.5,9107,37429,0.0
3293,-49.5,9107,37433,0.0
3294,-49.5,9107,37436,0.0
3296,-49.5,9107,37437,0.0
3299,-50.0,9107,37439,-0.5
3301,-50.0,9107,37441,0.0
3302,-50.0,9107,37441,0.0
3305,-49.5,9107,37447,0.5
3306,-50.0,9107,37451,-0.5
3308,-50.0,9107,37666,0.0
3310,-50.0,9107,37670,0.0
3313,-50.0,9107,37672,0.0
3314,-50.0,9107,37673,0.0
3316,-50.0,9107,37675,0.0
3318,-50.0,9107,37678,0.0
3320,-50.0,9107,37681,0.0
3323,-50.0,9107,37683,0.0
3324,-50.0,9107,37684,0.0
3327,-50.0,9107,37686,0.0
3328,-50.0,9107,37687,0.0
3330,-50.0,9107,37701,0.0
3333,-50.0,9107,37915,0.0
3334,-50.0,9107,37917,0.0
3337,-50.0,9107,37919,0.0
3339,-50.5,9107,37920,-0.5
3340,-50.5,9107,37920,0.0
3342,-50.0,9107,37922,0.5
3344,-50.5,9107,37925,-0.5
3346,-50.5,9107,37929,0.0
3349,-50.5,9107,37931,0.0
3351,-50.5,9107,37932,0.0
3352,-50.5,9107,37933,0.0
3354,-50.5,9107,37951,0.0
3357,-50.0,9107,38164,0.5
3358,-50.5,9107,38166,-0.5
3360,-50.5,9107,38168,0.0
3362,-50.5,9107,38169,0.0
3365,-50.0,9107,38171,0.5
3367,-50.5,9107,38175,-0.5
3368,-50.5,9107,38178,0.0
3371,-51.0,9107,38180,-0.5
3373,-50.5,9107,38182,0.5
3374,-50.5,9107,38182,0.0
3377,-50.5,9107,38188,0.0
3379,-50.5,9107,38202,0.0
3380,-50.5,9107,38204,0.0
3382,-50.5,9107,38427,0.0
3384,-51.0,9107,38433,-0.5
3386,-51.0,9107,38435,0.0
3388,-50.5,9107,38436,0.5
3391,-50.5,9107,38438,0.0
3393,-50.5,9107,38441,0.0
3395,-50.5,9107,38444,0.0
3397,-51.0,9107,38448,-0.5
3399,-50.0,9107,38449,1.0
3401,-50.5,9107,38452,-0.5
3403,-50.5,9107,38455,0.0
3404,-50.5,9107,38461,0.0
3407,-50.5,9107,38686,0.0
3409,-51.0,9107,38689,-0.5
3410,-50.5,9107,38689,0.5
3413,-50.5,9107,38691,0.0
3414,-51.0,9107,38692,-0.5
3417,-50.5,9107,38694,0.5
3419,-51.0,9107,38698,-0.5
3421,-51.5,9107,38700,-0.5
3423,-51.0,9107,38702,0.5
3424,-51.0,9107,38702,0.0
3427,-51.0,9107,38705,0.0
3429,-51.0,9107,38913,0.0
3431,-51.0,9107,38917,0.0
3433,-51.0,9107,38918,0.0
3435,-51.0,9107,38920,0.0
3436,-51.0,9107,38921,0.0
3438,-51.0,9107,38925,0.0
3440,-51.0,9107,38927,0.0
3442,-51.0,9107,38929,0.0
3444,-51.0,9107,38930,0.0
3447,-51.0,9107,38932,0.0
3448,-50.5,9107,38933,0.5
3450,-51.0,9107,38961,-0.5
3453,-51.0,9107,38965,0.0
3454,-51.0,9107,39177,0.0
3456,-51.0,9107,39181,0.0
3459,-51.0,9107,39185,0.0
3461,-51.0,9107,39187,0.0
3463,-51.0,9107,39192,0.0
3464,-51.0,9107,39193,0.0
3467,-51.0,9107,39199,0.0
3468,-51.5,9107,39201,-0.5
3471,-51.5,9107,39203,0.0
3472,-51.0,9107,39203,0.5
3474,-51.0,9107,39204,0.0
3477,-51.5,9107,39206,-0.5
3478,-51.0,9107,39424,0.5
3481,-51.0,9107,39429,0.0
