,RSS,Epc,time,diff
2403,-55.5,9107,25149,
2404,-56.0,9107,25151,-0.5
2406,-56.0,9107,25154,0.0
2408,-55.5,9107,25156,0.5
2410,-55.5,9107,25160,0.0
2412,-56.0,9107,25163,-0.5
2415,-55.5,9107,25165,0.5
2417,-56.0,9107,25166,-0.5
2418,-56.0,9107,25167,0.0
2421,-56.0,9107,25173,0.0
2422,-55.5,9107,25175,0.5
2424,-56.0,9107,25193,-0.5
2427,-56.0,9107,25196,0.0
2429,-56.0,9107,25425,0.0
2430,-56.0,9107,25428,0.0
2433,-56.0,9107,25430,0.0
2434,-56.5,9107,25431,-0.5
2436,-56.0,9107,25432,0.5
2439,-56.0,9107,25434,0.0
2440,-56.0,9107,25437,0.0
2442,-56.5,9107,25439,-0.5
2445,-55.5,9107,25441,1.0
2446,-56.0,9107,25442,-0.5
2449,-56.0,9107,25444,0.0
2450,-56.0,9107,25649,0.0
2453,-56.0,9107,25654,0.0
2454,-56.0,9107,25654,0.0
2456,-56.0,9107,25656,0.0
2459,-56.0,9107,25658,0.0
2460,-55.5,9107,25662,0.5
2462,-56.0,9107,25665,-0.5
2465,-56.0,9107,25667,0.0
2467,-56.0,9107,25671,0.0
2468,-56.0,9107,25674,0.0
2470,-56.0,9107,25677,0.0
2472,-56.0,9107,25700,0.0
2475,-56.0,9107,25707,0.0
2477,-56.0,9107,25917,0.0
2478,-56.0,9107,25918,0.0
2481,-56.5,9107,25922,-0.5
2483,-55.5,9107,25924,1.0
2485,-56.0,9107,25926,-0.5
2487,-56.0,9107,25927,0.0
2488,-56.0,9107,25928,0.0
2491,-56.0,9107,25930,0.0
2492,-56.0,9107,25931,0.0
2495,-56.0,9107,25938,0.0
2496,-56.0,9107,25939,0.0
2498,-56.0,9107,25940,0.0
2500,-56.0,9107,26161,0.0
2502,-56.0,9107,26165,0.0
2505,-56.0,9107,26167,0.0
2506,-56.0,9107,26168,0.0
2508,-56.0,9107,26171,0.0
2511,-56.0,9107,26176,0.0
2513,-55.5,9107,26179,0.5
2515,-55.5,9107,26181,0.0
2517,-56.0,9107,26185,-0.5
2518,-56.0,9107,26188,0.0
2520,-56.0,9107,26191,0.0
2522,-56.0,9107,26193,0.0
2524,-56.0,9107,26408,0.0
2527,-56.0,9107,26412,0.0
2528,-56.5,9107,26413,-0.5
2530,-56.0,9107,26414,0.5
2532,-56.0,9107,26417,0.0
2535,-56.0,9107,26421,0.0
