,RSS,Epc,time,diff
6491,-58.5,9107,68157,
6492,-58.5,9107,68157,0.0
6495,-58.5,9107,68157,0.0
6497,-58.5,9107,68157,0.0
6498,-58.5,9107,68157,0.0
6501,-58.5,9107,68157,0.0
6503,-58.5,9107,68157,0.0
6505,-58.5,9107,68157,0.0
6507,-58.5,9107,68173,0.0
6509,-59.0,9107,68173,-0.5
6511,-59.0,9107,68173,0.0
6512,-59.0,9107,68188,0.0
6515,-59.0,9107,68391,0.0
6516,-58.5,9107,68391,0.5
6519,-58.5,9107,68407,0.0
6520,-58.5,9107,68407,0.0
6523,-59.0,9107,68407,-0.5
6525,-59.0,9107,68407,0.0
6527,-59.0,9107,68407,0.0
6529,-59.0,9107,68407,0.0
6531,-59.0,9107,68407,0.0
6533,-58.5,9107,68407,0.5
6534,-58.5,9107,68422,0.0
6537,-58.5,9107,68422,0.0
6538,-58.5,9107,68657,0.0
6540,-58.5,9107,68657,0.0
6542,-59.5,9107,68657,-1.0
6545,-58.5,9107,68672,1.0
6546,-59.0,9107,68672,-0.5
6549,-59.0,9107,68672,0.0
6551,-59.0,9107,68672,0.0
6552,-58.5,9107,68672,0.5
6555,-59.0,9107,68672,-0.5
6556,-59.0,9107,68672,0.0
6558,-58.5,9107,68672,0.5
6560,-59.0,9107,68672,-0.5
6562,-59.0,9107,68907,0.0
6565,-58.5,9107,68907,0.5
6566,-58.5,9107,68907,0.0
6569,-58.5,9107,68907,0.0
6571,-58.5,9107,68907,0.0
6573,-58.5,9107,68907,0.0
6574,-58.5,9107,68907,0.0
6577,-58.5,9107,68922,0.0
6578,-58.5,9107,68922,0.0
6581,-58.5,9107,68922,0.0
6582,-59.0,9107,68922,-0.5
6585,-58.5,9107,68922,0.5
6586,-58.5,9107,69141,0.0
6589,-58.5,9107,69157,0.0
6590,-58.0,9107,69157,0.5
6593,-59.0,9107,69157,-1.0
6594,-59.0,9107,69157,0.0
6596,-58.5,9107,69157,0.5
6598,-59.0,9107,69157,-0.5
6601,-59.0,9107,69157,0.0
6602,-58.5,9107,69157,0.5
6605,-58.5,9107,69172,0.0
6606,-58.5,9107,69172,0.0
6608,-59.0,9107,69172,-0.5
6610,-58.5,9107,69391,0.5
6612,-58.5,9107,69407,0.0
6615,-59.0,9107,69407,-0.5
6616,-59.0,9107,69407,0.0
6619,-59.0,9107,69407,0.0
6621,-58.5,9107,69407,0.5
6623,-59.0,9107,69407,-0.5
6624,-58.5,9107,69407,0.5
6627,-59.0,9107,69407,-0.5
6628,-58.5,9107,69407,0.5
6631,-59.0,9107,69422,-0.5
6633,-59.0,9107,69422,0.0
6634,-58.0,9107,69641,1.0
6637,-58.5,9107,69641,-0.5
6639,-58.5,9107,69641,0.0
6640,-59.0,9107,69641,-0.5
6643,-58.5,9107,69641,0.5
6645,-58.5,9107,69657,0.0
6646,-59.0,9107,69657,-0.5
6648,-58.5,9107,69657,0.5
6650,-58.5,9107,69657,0.0
6653,-58.5,9107,69657,0.0
6654,-59.0,9107,69657,-0.5
6656,-59.0,9107,69672,0.0
6659,-59.0,9107,69891,0.0
6661,-58.5,9107,69891,0.5
6662,-58.5,9107,69891,0.0
6664,-59.0,9107,69891,-0.5
6666,-59.0,9107,69891,0.0
6668,-58.5,9107,69891,0.5
6671,-58.5,9107,69891,0.0
6673,-58.5,9107,69891,0.0
6674,-58.5,9107,69891,0.0
6677,-58.5,9107,69906,0.0
6678,-58.5,9107,69906,0.0
6680,-58.5,9107,69938,0.0
6682,-59.0,9107,69938,-0.5
6684,-58.5,9107,70141,0.5
6687,-59.5,9107,70156,-1.0
6688,-59.0,9107,70156,0.5
6691,-59.0,9107,70156,0.0
6692,-59.0,9107,70156,0.0
6694,-58.5,9107,70156,0.5
6697,-59.0,9107,70156,-0.5
6699,-59.0,9107,70172,0.0
6701,-58.5,9107,70172,0.5
6702,-58.5,9107,70172,0.0
6704,-59.0,9107,70172,-0.5
6706,-58.5,9107,70188,0.5
6709,-59.0,9107,70391,-0.5
6710,-59.0,9107,70407,0.0
6712,-58.5,9107,70407,0.5
6715,-58.5,9107,70407,0.0
6716,-59.0,9107,70407,-0.5
6718,-59.0,9107,70407,0.0
6720,-58.5,9107,70407,0.5
6722,-58.5,9107,70407,0.0
6724,-58.5,9107,70407,0.0
6726,-59.0,9107,70407,-0.5
6728,-58.5,9107,70407,0.5
6731,-58.5,9107,70422,0.0
6733,-59.0,9107,70641,-0.5
6734,-59.0,9107,70641,0.0
6736,-58.5,9107,70641,0.5
6738,-58.5,9107,70641,0.0
6741,-58.5,9107,70641,0.0
6743,-58.5,9107,70656,0.0
6744,-58.5,9107,70656,0.0
6746,-58.5,9107,70656,0.0
6749,-58.5,9107,70656,0.0
6750,-58.5,9107,70656,0.0
6752,-58.5,9107,70656,0.0
6754,-58.5,9107,70672,0.0
6757,-59.0,9107,70891,-0.5
6759,-58.5,9107,70891,0.5
6761,-58.5,9107,70891,0.0
6763,-59.5,9107,70891,-1.0
6765,-59.0,9107,70891,0.5
6767,-59.0,9107,70891,0.0
6769,-58.5,9107,70891,0.5
6770,-59.0,9107,70906,-0.5
6772,-58.5,9107,70906,0.5
6775,-59.0,9107,70906,-0.5
6776,-59.0,9107,70906,0.0
6778,-59.0,9107,70922,0.0
6781,-59.5,9107,70938,-0.5
6782,-59.0,9107,71156,0.5
6785,-59.0,9107,71156,0.0
6787,-59.0,9107,71156,0.0
6788,-59.5,9107,71156,-0.5
6791,-59.0,9107,71156,0.5
6793,-59.5,9107,71156,-0.5
6795,-59.0,9107,71172,0.5
6797,-59.0,9107,71172,0.0
6799,-59.0,9107,71172,0.0
6800,-59.0,9107,71172,0.0
6802,-59.0,9107,71172,0.0
6805,-59.0,9107,71172,0.0
6806,-59.0,9107,71407,0.0
6808,-59.0,9107,71407,0.0
6810,-59.5,9107,71407,-0.5
6813,-59.0,9107,71422,0.5
6815,-59.0,9107,71422,0.0
6817,-59.0,9107,71422,0.0
6818,-60.0,9107,71422,-1.0
6820,-58.5,9107,71422,1.5
6822,-58.5,9107,71422,0.0
6825,-52.0,9107,71422,6.5
6827,-51.5,9107,71422,0.5
6829,-51.0,9107,71422,0.5
6831,-50.0,9107,71657,1.0
6833,-50.5,9107,71672,-0.5
6835,-50.5,9107,71672,0.0
6836,-50.5,9107,71672,0.0
